EcoServ,Response,Key word,Notes,EF,ES,no selection,Proxy for ES
Food,biomass,Productivity,,1,0,0,0
Food,Biomass,Productivity,,0,1,0,1
Food,Growth of dry soft tissue,Productivity,maybe,1,0,0,0
Food,Growth of shell length,Productivity,"maybe, could be ESP",1,0,0,0
freshWQReg,bryophyte biomass,Productivity,,0,0,0,1
HabCreate,aboveground production,Productivity,,0,0,0,1
HabCreate,coral growth,Productivity,,1,0,0,0
HabCreate,gross primary production,Productivity,,0,0,0,1
Materials,forest yield,Productivity,maybe with new bin for forest products,0,1,0,0
PestPath,biomass of weeds,Productivity,,1,0,0,0
SoilProtect,above ground biomass,Productivity,,0,1,0,0
SoilProtect,Microbial biomass,Productivity,?,1,0,0,0
HabCreate,herbivore fish biomass,Productivity ,could also be Pathogens/natural enemies,0,1,0,0
Food,corn yield,"Productivity, Exploitation/harvest",,0,1,0,0
HabCreate,NDVI,"Productivity, Habitat",,0,0,1,0
CulturePsych,cross country skiing,Recreation/tourism,,0,1,0,0
CulturePsych,dive tourism,Recreation/tourism,or maybe Exploitation,0,1,0,0
CulturePsych,flora and fauna,Recreation/tourism,maybe,0,1,0,0
CulturePsych,horseback riding,Recreation/tourism,,0,1,0,0
CulturePsych,distance traveled to visit lakes,Recreation/toursim,,0,1,0,0
CulturePsych,lake visitation,Recreation/toursim,,0,1,0,0
coastWQReg,macroinvertebrate abundance and composition,"Service provider abunance, Service provider diversity/richness/composition",,0,0,0,1
coastWQReg,abundance of zooplankton,service provider abundance,,0,0,0,1
CulturePsych,Abundance of RDB or nationally scarce invertebrates,service provider abundance,,0,0,0,1
CulturePsych,fish density (adults per ha),Service provider abundance,,0,0,0,1
CulturePsych,Fish density (young-of-year per ha),Service provider abundance,,0,0,0,1
HabCreate,crustacean density,Service provider abundance,,1,0,0,0
HabCreate,fish density,Service provider abundance,,1,0,0,0
HabCreate,nekton abundance,Service provider abundance,,1,0,0,0
MaintainOpts,abundance of native and non-native taxa,service provider abundance,,0,0,0,1
MaintainOpts,conifer seedling abundance,Service provider abundance,,0,0,1,0
MaintainOpts,existence of woodland caribou,Service provider abundance,,0,1,0,0
MaintainOpts,fish abundances,Service provider abundance,,1,0,0,0
MaintainOpts,index of rarity,Service provider abundance,maybe,1,0,0,0
MaintainOpts,invertebrate abundances,Service provider abundance,,1,0,0,0
MaintainOpts,number of invertabrates,Service provider abundance,,0,0,0,1
MedGen,medicinal plants,Service provider abundance,maybe,0,2,0,0
PestPath,abundance of beneficial fungi,service provider abundance,,1,0,0,0
PestPath,aphid (pest) density,service provider abundance,pathogens/natural enemies,0,1,0,1
PestPath,aphid days,service provider abundance,pathogens/natural enemies,0,0,0,1
PestPath,aphid growth,service provider abundance,pathogens/natural enemies,0,0,0,1
PestPath,Aphids per plant,service provider abundance,pathogens/natural enemies,0,1,0,0
PestPath,bird abundance,service provider abundance,,0,1,0,0
PestPath,bird species density,service provider abundance,,0,1,0,0
Pollination,abundance,service provider abundance,check this one,0,1,0,0
Pollination,butterfly presence/abundance,service provider abundance,,0,0,1,0
SoilProtect,abundance and body size of carabids,service provider abundance,,0,0,0,1
SoilProtect,abundance and body size of collembollans,service provider abundance,,0,0,0,1
SoilProtect,abundance and body size of dipterans,service provider abundance,,0,0,0,1
SoilProtect,abundance and body size of staphylinids,service provider abundance,,0,0,0,1
SoilProtect,Abundance of detritivorous soil arthropods,service provider abundance,,1,0,0,0
SoilProtect,burrow density,service provider abundance,,1,0,0,0
SoilProtect,earthworm abundance,Service provider abundance,,1,0,0,1
SoilProtect,earthworm density,Service provider abundance,,0,0,0,1
SoilProtect,fungal abundance,Service provider abundance,,1,0,0,0
SoilProtect,frequency of burrows,Service provider abundance ,indirectly?,1,0,0,0
PestPath,dung-decomposing beetle diversity and abundance,"Service provider abundance, service provider diversity/richness/composition",,1,0,0,0
SoilProtect,dung-decomposing beetle diversity and abundance,"Service provider abundance, service provider diversity/richness/composition",,1,0,0,0
PestPath,arthropod diversity and abundance,service provider abundance; service provider diversity/richness/composition,,1,0,0,0
Pollination,Abundance and diversity of native bees,service provider abundance; service provider diversity/richness/composition,,0,1,0,0
SoilProtect,arthropod diversity and abundance,service provider abundance; service provider diversity/richness/composition,,1,0,0,0
Pollination,and diversity of wild bees visiting flowers,service provider diversity/richness,,0,1,0,0
coastWQReg,diversity of algal and bacterial communities,Service provider diversity/richness/composition,,0,0,0,1
coastWQReg,invertebrate community,Service provider diversity/richness/composition,,0,0,0,1
Food,Fish community diversity,Service provider diversity/richness/composition,,0,1,0,0
Food,Fish community structure,Service provider diversity/richness/composition,,1,0,0,0
HabCreate,fish community index (FCI),Service provider diversity/richness/composition,,1,0,0,0
HabCreate,macro invertebrate rayon richness and diversity,Service provider diversity/richness/composition,,0,0,0,1
MaintainOpts,Fish Community Index (FCI),Service provider diversity/richness/composition,,1,0,0,0
MedGen,medicinal plant richness,Service provider diversity/richness/composition,,0,1,0,0
PestPath,bird functional diversity,service provider diversity/richness/composition,,1,0,0,0
PestPath,bird species richness,service provider diversity/richness/composition,,0,1,0,0
PestPath,Invertebrate biodiversity,Service provider diversity/richness/composition,,0,0,0,1
