EcoServ,Response,V1,EF,ES,no selection,Proxy for ES
SoilProtect,N mineralisation rate,1,0,0,0,1
SoilProtect,N mineralization rate,1,1,0,0,0
freshWQReg,N retention,1,0,1,0,0
SoilProtect,N retention,1,0,1,0,0
AQReg,N storage,1,0,1,0,0
SoilProtect,N storage,1,1,0,0,0
AQReg,N2,1,0,1,0,0
Food,"NA",1,1,0,0,0
MaintainOpts,"NA",1,1,0,0,0
SoilProtect,Na),1,0,0,0,1
CulturePsych,natural materials,1,0,1,0,0
CulturePsych,Nature appreciation,1,0,1,0,0
HabCreate,NDVI,1,0,0,1,0
Pollination,Nectar feeder biodiversity and abundance,1,0,0,0,1
HabCreate,nekton abundance,1,1,0,0,0
ClimReg,Net C balance,1,0,1,0,0
SoilProtect,net nitrogen mineralization absorbed to ionic resins,1,0,1,0,0
ClimReg,net oxygen production,1,0,0,1,0
ClimReg,Net primary production,1,0,0,1,0
ClimReg,net primary productivity,1,0,0,0,1
coastWQReg,nitrate  spiraling rates,1,0,0,1,0
coastWQReg,nitrate conc.,1,0,0,0,1
coastWQReg,nitrate spiraling rates,1,0,0,0,1
SoilProtect,Nitrate supply rate,1,0,0,1,0
coastWQReg,nitrate/nitrite/phosphorous/BOD5/O2 concentrations in water,1,0,1,0,0
coastWQReg,nitrite conc.,1,0,0,0,1
ClimReg,nitrogen,1,0,1,0,0
coastWQReg,Nitrogen,1,0,0,0,1
coastWQReg,nitrogen and phosphorus retention,1,0,0,0,1
coastWQReg,nitrogen concentration,1,0,0,0,1
SoilProtect,nitrogen retention,1,0,1,0,0
ClimReg,Nitrogen storage,1,0,1,0,0
SoilProtect,nitrogen storage in SOM,1,0,1,0,0
AQReg,nitrous oxide emission,1,0,0,0,1
AQReg,Nitrous oxide emissions,1,1,0,0,0
AQReg,nitrous oxide flux,1,0,1,0,0
AQReg,NO measurements,1,0,1,0,0
AQReg,NO2 concentration levels,1,0,0,0,1
AQReg,No2 dry deposition velocity,1,0,0,0,1
coastWQReg,NO3-N concentrations,1,1,0,0,0
CulturePsych,noise reduction,1,0,1,0,0
ClimReg,NPP,2,0,2,0,0
Food,NPP,1,0,1,0,0
ClimReg,NPP),1,0,0,0,1
PestPath,number of borers,1,0,0,1,0
Food,Number of cattle per hectare,1,0,0,0,1
MaintainOpts,number of invertabrates,1,0,0,0,1
CulturePsych,number of national reserves,1,0,0,0,1
Hazards,number of people affected by floods,1,0,1,0,0
Pollination,number of pollen grains deposited per flower,1,0,1,0,0
CulturePsych,number of pots,1,0,1,0,0
Food,number of pots,1,0,1,0,0
HabCreate,number of pots,1,0,1,0,0
MedGen,number of pots,1,0,1,0,0
Pollination,number of pots,1,0,1,0,0
Materials,Number of roots,1,0,1,0,0
MaintainOpts,number of species 'in danger',1,0,0,0,1
Pollination,number of visitors),1,0,1,0,0
Hazards,number over tides,1,0,0,1,0
SoilProtect,nutrient provisioning,1,0,1,0,0
SoilProtect,nutrient removal,1,0,1,0,0
SoilProtect,Nutrient transformation and cycling,1,0,1,0,0
HabCreate,nutrient uptake,1,0,0,0,1
ClimReg,nutrient use efficiency,0,0,1,0,1
coastWQReg,nutrients,1,1,0,0,0
coastWQReg,O2 conc.,1,0,0,0,1
Food,okra yield,1,0,0,0,1
Food,open space,1,0,1,0,0
CulturePsych,opnion,1,0,0,1,0
CulturePsych,orchard,1,0,0,1,0
Food,orchard,1,0,0,1,0
SoilProtect,orchard,1,0,0,1,0
Food,orchard and forage production,1,0,1,0,0
ClimReg,Organic Carbon,1,0,0,0,1
coastWQReg,organic matter,1,0,0,0,1
SoilProtect,organic matter content,1,0,0,0,1
SoilProtect,Organic P,1,0,0,0,1
CulturePsych,Outdoor activities,1,0,1,0,0
CulturePsych,outdoor rec,1,0,1,0,0
CulturePsych,Outdoor recreation,1,0,1,0,0
coastWQReg,oxygen concentration,1,0,1,0,0
Food,oyster density,1,0,1,0,0
HabCreate,Oyster habitat,1,0,1,0,0
Food,Oyster size,1,0,1,0,0
SoilProtect,P,1,1,0,0,0
freshWQReg,P retention,1,0,1,0,0
SoilProtect,P retention,1,0,1,0,0
CulturePsych,paddle routes,1,0,1,0,0
Food,paddy rice field,1,0,0,1,0
Food,palatability,1,0,0,0,1
Food,palatable (to livestock) plant richness,1,0,1,0,0
PestPath,parasitism rate,1,0,1,0,0
PestPath,parasitoid abundance,1,0,0,0,1
PestPath,parasitoids,1,0,0,0,1
Pollination,parasitoids,1,0,1,0,0
freshWQReg,Peak stream flows,1,0,0,0,1
SoilProtect,Pedogenesis and soil quality regulation,1,0,1,0,0
Hazards,people affected by floods,1,0,0,0,1
CulturePsych,people displacement,1,0,0,0,1
freshWQReg,peowater for individuals,1,0,0,0,1
SoilProtect,per capita siderophore production,1,0,0,0,1
ClimReg,Percent carbon in soil by weight,1,0,1,0,0
ClimReg,percent cover canopy,0,1,1,0,0
ClimReg,percent cover herbs,0,1,1,0,0
ClimReg,percent cover shrubs,0,1,1,0,0
Pollination,Percent frequency of plants in feces,1,0,0,0,1
Pollination,percent germination of dispersed propagules,1,0,0,0,1
SoilProtect,percent nitrogen in soil by weight,1,0,1,0,0
ClimReg,percent tree cover,1,0,0,0,1
PestPath,persistence of insectivore bat species,1,0,0,0,1
Pollination,persistence of nectar of frugivorous bat species,1,0,0,0,1
Pollination,persistence of nectarivorous bat species,1,0,0,0,1
PestPath,Pest,1,0,1,0,0
PestPath,Pest abundance,1,0,1,0,0
PestPath,Pest Abundance,1,0,1,0,0
PestPath,Pest and disease control,1,0,1,0,0
PestPath,pest attack rate,1,0,0,1,0
PestPath,pest community composition,1,0,0,1,0
ClimReg,Pest control,1,0,1,0,0
PestPath,pest diversity index,1,0,0,0,1
Food,pest load,1,0,0,0,1
PestPath,pest management by spiders (only spider abundance and richness),1,0,0,0,1
PestPath,Pest parasitism,1,0,1,0,0
PestPath,pest parasitism rate (i.e. biocontrol success),1,0,0,1,0
PestPath,Pest population,0,1,1,0,0
PestPath,Pest predation,1,0,1,0,0
PestPath,Pest regulation,1,0,1,0,0
